sku,name,customerReviewAverage,customerReviewCount,customerTopRated,manufacturer,class,condition
6556908,"Apple - Geek Squad Certified Refurbished MacBook - 12"" Display - Intel Core M - 8GB Memory - 512GB Flash Storage - Gold",,,,Apple,APPLE LAPTOP,Refurbished
6556911,"Apple - Geek Squad Certified Refurbished MacBook Air Intel Core i5 Processor 13.3"" Display 4GB Memory 128GB Flash Storage - Silver",,,,Apple,APPLE LAPTOP,Refurbished
6556912,"Apple - Geek Squad Certified Refurbished MacBook Air Intel Core i5 Processor 11.6"" Display 4GB Memory 128GB Flash Storage - Silver",,,,Apple,APPLE LAPTOP,Refurbished
6556913,"Apple - Geek Squad Certified Refurbished MacBook Pro 13.3"" 4GB Memory 750GB Hard Drive - Silver",,,,Apple,APPLE LAPTOP,Refurbished
6556917,"Apple - Geek Squad Certified Refurbished MacBook Pro with Retina Display 13.3"" Display - 8GB Memory 128GB Flash Storage - Silver",,,,Apple,APPLE LAPTOP,Refurbished
6556924,"Apple - Geek Squad Certified Refurbished MacBook Pro with Retina display 15.4"" Display 8GB Memory 256GB Flash Storage - Silver",,,,Apple,APPLE LAPTOP,Refurbished
6556928,"Apple - Geek Squad Certified Refurbished MacBook Pro 13.3"" 4 GB Memory 250 GB Hard Drive - Silver",,,,Apple,APPLE LAPTOP,Refurbished
6556929,"Apple - Geek Squad Certified Refurbished MacBook Air 11.6"" Laptop - Intel Core i5 - 4GB Memory - 128GB Flash Storage - Silver",1.0,1.0,False,Apple,APPLE LAPTOP,Refurbished
6556954,"Apple - Geek Squad Certified Refurbished MacBook - 12"" Display - Intel Core M - 8GB Memory - 256GB Flash Storage - Space Gray",,,,Apple,APPLE LAPTOP,Refurbished
6556961,Apple - Geek Squad Certified Refurbished Laptop - 1TB HDD - Aluminum,,,,Apple,APPLE LAPTOP,Refurbished
6556974,"Apple - Geek Squad Certified Refurbished MacBook Pro-Retina display-13.3"" Display-Intel Core i7-16GB Memory-512GB Flash Storage - Silver",,,,Apple,APPLE LAPTOP,Refurbished
6556985,"Apple - Geek Squad Certified Refurbished MacBook Pro with Retina display - 15.4"" Display - 16GB Memory - 256GB Flash Storage - Silver",,,,Apple,APPLE LAPTOP,Refurbished
6556990,"Geek Squad Certified Refurbished MacBook Pro 13.3"" Laptop - Apple M1 chip - 8GB Memory - 512GB SSD - Silver",4.0,78.0,False,Apple,APPLE LAPTOP,Refurbished
6557031,"Apple - Geek Squad Certified Refurbished MacBook Air 11.6"" Laptop - Intel Core i5 - 4GB Memory - 128GB Flash Storage - Silver",1.0,1.0,False,Apple,APPLE LAPTOP,Refurbished
6557141,"Apple - Geek Squad Certified Refurbished MacBook Air 11.6"" Laptop - Intel Core i5 - 4GB Memory - 256GB Flash Storage - Silver",,,,Apple,APPLE LAPTOP,Refurbished
6557143,"Apple - Geek Squad Certified Refurbished MacBook Air - 11.6"" Display - Intel Core i5 - 4GB Memory - 256GB Flash Storage - Silver",,,,Apple,APPLE LAPTOP,Refurbished
6560603,"Refurbished HP EliteBook 840 G7, Core i5-10310U 1.7GHz, 16GB, 512GB M.2-NVMe, 14"" FHD, Win11P64, CAM, A GRADE - Silver",4.7,3.0,False,HP,SO LAPTOPS,Refurbished
6560607,"Refurbished HP 850 G6 Laptop, Core i7-8665U 1.9GHz, 16GB, 512GB SSD, 15.6"" FHD, Win11P64, CAM, A GRADE - Silver",5.0,1.0,False,HP,SO LAPTOPS,Refurbished
6561068,Microsoft - GS Cert Refurb Surface Lptp Studio 14.4” TouchScreen IntelCorei7 32GB Mem NVIDIA GeForceRTX3050Ti 2TB SSD - Platinum,3.5,2.0,False,Microsoft,SURFACE LAPTOP,Refurbished
6561395,"Apple - GS Cert Refurb MacBook Pro - 15"" Display with Touch Bar - Intel Core i7 - 16GB Memory - AMD Radeon Pro 560X - 1TB SSD - Silver",,,,Apple,APPLE LAPTOP,Refurbished
6561396,"Apple - GS Cert Refurb MacBook Pro - 13"" Display - Intel Core i7 - 16GB Memory - 1TB SSD - Space Gray",,,,Apple,APPLE LAPTOP,Refurbished
6561397,"Apple - Geek Squad Certified Refurbished MacBook Pro - 13"" Display - Intel Core i7 - 16GB Memory - 1TB SSD - Silver",,,,Apple,APPLE LAPTOP,Refurbished
6561401,"Apple - GS Cert Refurb MacBook Pro - 15"" Display with Touch Bar - Intel Core i9 - 32GB Memory - AMD Radeon Pro Vega 20 - 1TB SSD - Space Gray",,,,Apple,APPLE LAPTOP,Refurbished
6561407,"Apple - GS Cert Refurb MacBook Pro 15.4"" Display with Touch Bar - Intel Core i9 - 32GB Memory - AMD Radeon Pro Vega 20 - 1TB SSD - Space Gray",,,,Apple,APPLE LAPTOP,Refurbished
6561433,Microsoft - GS Cert Refurb Surface Lptp Stu 14.4” TouchScreen IntelCorei7 16GB Mem NVIDIA GeForce RTX3050Ti 512GB SSD - Platinum,3.8,6.0,False,Microsoft,SURFACE LAPTOP,Refurbished
6561437,Microsoft - GS Cert Refurb Surface Lptp Studio 14.4” TouchScreen IntelCorei7 32GB Mem NVIDIA GeForceRTX3050Ti 1TB SSD - Platinum,,,,Microsoft,SURFACE LAPTOP,Refurbished
6561785,"Geek Squad Certified Refurbished MacBook Pro 14"" Laptop - Apple M1 Pro chip - 16GB Memory - 1TB SSD - Space Gray",3.5,46.0,False,Apple,APPLE LAPTOP,Refurbished
6561786,"Geek Squad Certified Refurbished MacBook Pro 16"" Laptop - Apple M1 Max chip - 32GB Memory - 1TB SSD - Space Gray",2.3,3.0,False,Apple,APPLE LAPTOP,Refurbished
6561787,"Geek Squad Certified Refurbished MacBook Pro 16"" Laptop - Apple M1 Pro chip - 16GB Memory - 1TB SSD - Silver",3.8,46.0,False,Apple,APPLE LAPTOP,Refurbished
6561790,"Geek Squad Certified Refurbished MacBook Pro 16"" Laptop - Apple M1 Max chip - 32GB Memory - 1TB SSD - Silver",2.3,3.0,False,Apple,APPLE LAPTOP,Refurbished
6561792,"HP - PRO C640 Chromebook 14"" Refurbished ‎1366x768 - Intel 10th Gen Core i5 with 8GB Memory - UHD Graphics - 64GB Flash - Silver",4.2,18.0,False,HP,SO LAPTOPS,Refurbished
6565700,"Apple - MacBook Pro 14"" Certified Refurbished - M1 Pro chip - 8CPU/14GPU with 16GB Memory - 512GB SSD (2021) - Gray",4.3,16.0,False,Apple,SO LAPTOPS,Refurbished
6565835,Apple - MacBook Air 13-inch Laptop - M3 chip Built for Apple Intelligence - 8GB Memory - 256GB SSD - Starlight,4.9,2336.0,True,Apple,APPLE LAPTOP,New
6565837,Apple - MacBook Air 13-inch Laptop - M3 chip Built for Apple Intelligence - 8GB Memory - 256GB SSD - Midnight,4.9,2336.0,True,Apple,APPLE LAPTOP,New
6565838,Apple - MacBook Air 13-inch Laptop - M3 chip Built for Apple Intelligence - 8GB Memory - 512GB SSD - Midnight,4.9,454.0,True,Apple,APPLE LAPTOP,New
6565842,Apple - MacBook Air 13-inch Laptop - M3 chip Built for Apple Intelligence - 16GB Memory - 512GB SSD - Midnight,4.9,1404.0,True,Apple,APPLE LAPTOP,New
